incident_id,date,time,year,month,day_of_week,hour,crime_type,location_text,road_id,road_name,area,thana,latitude,longitude,source,source_url,source_type,victim_type,weapon,suspect_count,vehicle_used,description,location_precision,verification_status,confidence
DHK-2023-0448,2023-01-11,21:51,2023,1,Wednesday,21,Mugging,Malibagh - close to the Malibagh market square,ROAD_48,Mouchak to Kakrail Road,Malibagh,Shahjahanpur,23.746058,90.411346,bdnews24,https://bdnews24.com/bangladesh/incident-2023-01-0448,news,Pedestrian,Unarmed / Speed snatch,1,Motorcycle (Pulsar/FZ),"Muggers armed with a unarmed / speed snatch intercepted a pedestrian close to the Malibagh market square, fleeing with cash and bag.",EXACT,VERIFIED,0.84
DHK-2023-0738,2023-01-12,19:21,2023,1,Thursday,19,Snatching,Tejgaon - near the intersection approaching Jahangir Gate,ROAD_12,Jahangir Gate VIP Link,Tejgaon,Tejgaon,23.771427,90.393104,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0738,news,Office worker,Sharp knife (Chhuri),4,Motorcycle (Pulsar/FZ),"Muggers armed with a sharp knife (chhuri) intercepted a office worker near the intersection approaching Jahangir Gate, fleeing with cash and bag.",EXACT,UNCONFIRMED,0.54
DHK-2023-0443,2023-01-12,20:45,2023,1,Thursday,20,Pickpocketing,Dhanmondi - in front of the commercial complex at Dhanmondi,ROAD_10,Science Lab to Nilkhet / New Market,Dhanmondi,New Market,23.734371,90.383885,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-01-0443,police_report,Pedestrian,Sharp knife (Chhuri),2,Motorcycle (Pulsar/FZ),"Muggers armed with a sharp knife (chhuri) intercepted a pedestrian in front of the commercial complex at Dhanmondi, fleeing with cash and bag.",INTERSECTION,VERIFIED,0.91
DHK-2023-0244,2023-01-14,11:25,2023,1,Saturday,11,Robbery,Tejgaon - along the poorly lit section of Tejgaon Industrial to Farmgate Link,ROAD_26,Tejgaon Industrial to Farmgate Link,Tejgaon,Tejgaon Industrial,23.76208,90.39793,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0244,news,University student,Sharp knife (Chhuri),2,Motorcycle (Pulsar/FZ),"Muggers armed with a sharp knife (chhuri) intercepted a university student along the poorly lit section of Tejgaon Industrial to Farmgate Link, fleeing with cash and bag.",INTERSECTION,VERIFIED,0.82
DHK-2023-0888,2023-01-14,17:10,2023,1,Saturday,17,Snatching,Dhanmondi - along the poorly lit section of Dhanmondi 27 Inner Connector,ROAD_05,Dhanmondi 27 Inner Connector,Dhanmondi,Dhanmondi,23.758634,90.363664,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-01-0888,news,University student,Sharp knife (Chhuri),3,Motorcycle (Pulsar/FZ),Reported incident of snatching involving a university student at along the poorly lit section of Dhanmondi 27 Inner Connector. Suspects fled using a motorcycle (pulsar/fz).,ROAD,PROBABLE,0.92
DHK-2023-1093,2023-01-14,20:51,2023,1,Saturday,20,Robbery,Shahbagh - near Shahbagh bus stop,ROAD_09,Shahbagh to Science Lab (Elephant Road),Shahbagh,Shahbagh,23.739252,90.389552,The Daily Star,https://www.thedailystar.net/crime/incident-2023-01-1093,news,Rickshaw passenger,Sharp knife (Chhuri),3,Motorcycle (Pulsar/FZ),A rickshaw passenger had their smartphone snatched by 3 perpetrators on a motorcycle (pulsar/fz) near Shahbagh bus stop around 20:51.,INTERSECTION,VERIFIED,0.81
DHK-2023-0893,2023-01-15,19:24,2023,1,Sunday,19,Snatching,Shahbagh - near the intersection approaching Kakrail Mosque Mor,ROAD_42,Shahbagh to Kakrail VIP Road,Shahbagh,Shahbagh,23.739213,90.402671,bdnews24,https://bdnews24.com/bangladesh/incident-2023-01-0893,news,University student,Unarmed / Speed snatch,2,On foot (sprint),Police blotter recorded a swift snatching incident near the intersection approaching Kakrail Mosque Mor during Sunday night hours.,EXACT,VERIFIED,0.83
DHK-2023-0587,2023-01-16,06:36,2023,1,Monday,6,Snatching,Mirpur - near the intersection approaching Mirpur 10 Roundabout,ROAD_31,Mirpur-1 to Mirpur-10 Connector,Mirpur,Mirpur,23.801116,90.361351,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0587,news,University student,Paper cutter,3,Private car,Reported incident of snatching involving a university student at near the intersection approaching Mirpur 10 Roundabout. Suspects fled using a private car.,EXACT,PROBABLE,0.76
DHK-2023-1163,2023-01-17,01:15,2023,1,Tuesday,1,Snatching,Mohammadpur - along the poorly lit section of Mohammadpur Beribadh Outer Road,ROAD_35,Mohammadpur Beribadh Outer Road,Mohammadpur,Mohammadpur,23.758895,90.348129,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-01-1163,news,Rickshaw passenger,Iron rod,2,Motorcycle (Pulsar/FZ),"Muggers armed with a iron rod intercepted a rickshaw passenger along the poorly lit section of Mohammadpur Beribadh Outer Road, fleeing with cash and bag.",INTERSECTION,VERIFIED,0.86
DHK-2023-0951,2023-01-17,22:27,2023,1,Tuesday,22,Snatching,Mohammadpur - under the Mohammadpur footover bridge,ROAD_06,Mirpur Road (Asad Gate to Farmgate Connector),Mohammadpur,Mohammadpur,23.758013,90.379593,bdnews24,https://bdnews24.com/bangladesh/incident-2023-01-0951,news,Rickshaw passenger,Sharp knife (Chhuri),3,Motorcycle (Pulsar/FZ),"Muggers armed with a sharp knife (chhuri) intercepted a rickshaw passenger under the Mohammadpur footover bridge, fleeing with cash and bag.",INTERSECTION,VERIFIED,0.81
DHK-2023-0822,2023-01-17,23:33,2023,1,Tuesday,23,Mugging,Nilkhet - near Nilkhet bus stop,ROAD_52,New Market to Sadarghat Riverfront Connector,Nilkhet,New Market,23.718446,90.400155,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-01-0822,police_report,Small shopkeeper,Sharp knife (Chhuri),3,CNG auto-rickshaw,Police blotter recorded a swift snatching incident near Nilkhet bus stop during Tuesday night hours.,EXACT,PROBABLE,0.83
DHK-2023-0805,2023-01-18,01:07,2023,1,Wednesday,1,Mugging,Mirpur - close to the Mirpur market square,ROAD_31,Mirpur-1 to Mirpur-10 Connector,Mirpur,Mirpur,23.800814,90.360676,Dhaka Tribune,https://www.dhakatribune.com/bangladesh/crime/incident-2023-01-0805,news,Office worker,Firearm / Pistol,1,Motorcycle (Pulsar/FZ),Reported incident of mugging involving a office worker at close to the Mirpur market square. Suspects fled using a motorcycle (pulsar/fz).,EXACT,VERIFIED,0.79
DHK-2023-0351,2023-01-18,23:14,2023,1,Wednesday,23,Robbery,Gulshan - along the poorly lit section of Gulshan Avenue (Gulshan-1 to Gulshan-2),ROAD_16,Gulshan Avenue (Gulshan-1 to Gulshan-2),Gulshan,Gulshan,23.782441,90.41673,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-01-0351,news,Office worker,Sharp knife (Chhuri),2,On foot (sprint),Police blotter recorded a swift snatching incident along the poorly lit section of Gulshan Avenue (Gulshan-1 to Gulshan-2) during Wednesday night hours.,EXACT,VERIFIED,0.95
DHK-2023-0945,2023-01-19,11:06,2023,1,Thursday,11,Theft,Paltan - along the poorly lit section of Paltan to Sadarghat (Old Dhaka Arterial),ROAD_51,Paltan to Sadarghat (Old Dhaka Arterial),Paltan,Paltan,23.720625,90.410993,Dhaka Tribune,https://www.dhakatribune.com/bangladesh/crime/incident-2023-01-0945,news,University student,Pepper spray,1,Motorcycle (Pulsar/FZ),A university student had their smartphone snatched by 1 perpetrators on a motorcycle (pulsar/fz) along the poorly lit section of Paltan to Sadarghat (Old Dhaka Arterial) around 11:06.,EXACT,VERIFIED,0.79
DHK-2023-0196,2023-01-19,20:19,2023,1,Thursday,20,Theft,Farmgate - near the intersection approaching Karwan Bazar Chottor,ROAD_07,Kazi Nazrul Islam Ave (Farmgate to Karwan Bazar),Farmgate,Tejgaon,23.753697,90.392102,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0196,news,University student,Sharp knife (Chhuri),4,Motorcycle (Pulsar/FZ),Police blotter recorded a swift snatching incident near the intersection approaching Karwan Bazar Chottor during Thursday night hours.,AREA,VERIFIED,0.95
DHK-2023-1072,2023-01-20,08:38,2023,1,Friday,8,Mugging,Motijheel - near Motijheel bus stop,ROAD_49,Motijheel to Sayedabad Bus Terminal,Motijheel,Motijheel,23.723083,90.422574,Daily Sun,https://www.daily-sun.com/post/crime/incident-2023-01-1072,news,Rickshaw passenger,Firearm / Pistol,2,CNG auto-rickshaw,A rickshaw passenger had their smartphone snatched by 2 perpetrators on a cng auto-rickshaw near Motijheel bus stop around 08:38.,EXACT,VERIFIED,0.94
DHK-2023-0803,2023-01-20,22:43,2023,1,Friday,22,Theft,Tejgaon - near the intersection approaching Gulshan 1 Circle,ROAD_25,Tejgaon-Gulshan Link Road,Tejgaon,Tejgaon Industrial,23.767015,90.404756,bdnews24,https://bdnews24.com/bangladesh/incident-2023-01-0803,news,Small shopkeeper,Sharp knife (Chhuri),2,On foot (sprint),A small shopkeeper had their smartphone snatched by 2 perpetrators on a on foot (sprint) near the intersection approaching Gulshan 1 Circle around 22:43.,EXACT,VERIFIED,0.93
DHK-2023-0770,2023-01-21,19:45,2023,1,Saturday,19,Robbery,Dhanmondi - along the poorly lit section of Mirpur Road (Science Lab to Kalabagan),ROAD_01,Mirpur Road (Science Lab to Kalabagan),Dhanmondi,New Market,23.745007,90.380429,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0770,news,University student,Sharp knife (Chhuri),2,Private car,A university student had their smartphone snatched by 2 perpetrators on a private car along the poorly lit section of Mirpur Road (Science Lab to Kalabagan) around 19:45.,INTERSECTION,PROBABLE,0.84
DHK-2023-1202,2023-01-22,17:12,2023,1,Sunday,17,Snatching,Tejgaon - close to the Tejgaon market square,ROAD_13,Airport Road (Jahangir Gate to Mohakhali),Tejgaon,Cantonment,23.774212,90.396019,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-1202,news,Female commuter,Sharp knife (Chhuri),1,Private car,Reported incident of snatching involving a female commuter at close to the Tejgaon market square. Suspects fled using a private car.,INTERSECTION,VERIFIED,0.87
DHK-2023-0417,2023-01-23,23:35,2023,1,Monday,23,Snatching,Kuril - near the intersection approaching Airport Roundabout,ROAD_39,Airport Road (Kuril Flyover to Airport),Kuril,Khilkhet,23.846652,90.40854,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-01-0417,police_report,Motorcyclist,Paper cutter,2,On foot (sprint),A motorcyclist had their smartphone snatched by 2 perpetrators on a on foot (sprint) near the intersection approaching Airport Roundabout around 23:35.,ROAD,VERIFIED,0.82
DHK-2023-1033,2023-01-24,23:40,2023,1,Tuesday,23,Theft,Sayedabad - along the poorly lit section of Sayedabad to Jatrabari Flyover Entrance,ROAD_50,Sayedabad to Jatrabari Flyover Entrance,Sayedabad,Jatrabari,23.711712,90.433921,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-01-1033,police_report,Pedestrian,Sharp knife (Chhuri),3,Leguna van,A pedestrian had their smartphone snatched by 3 perpetrators on a leguna van along the poorly lit section of Sayedabad to Jatrabari Flyover Entrance around 23:40.,INTERSECTION,VERIFIED,0.92
DHK-2023-0866,2023-01-25,16:24,2023,1,Wednesday,16,Robbery,Shyamoli - close to the Shyamoli market square,ROAD_30,Mirpur Road (Shyamoli to Mirpur-1),Shyamoli,Adabor,23.776096,90.36118,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0866,news,Office worker,Unarmed / Speed snatch,3,CNG auto-rickshaw,A office worker had their smartphone snatched by 3 perpetrators on a cng auto-rickshaw close to the Shyamoli market square around 16:24.,INTERSECTION,VERIFIED,0.77
DHK-2023-0975,2023-01-25,20:38,2023,1,Wednesday,20,Robbery,Motijheel - near Motijheel bus stop,ROAD_49,Motijheel to Sayedabad Bus Terminal,Motijheel,Motijheel,23.726184,90.419863,The Daily Star,https://www.thedailystar.net/crime/incident-2023-01-0975,news,Small shopkeeper,Firearm / Pistol,4,Private car,"Muggers armed with a firearm / pistol intercepted a small shopkeeper near Motijheel bus stop, fleeing with cash and bag.",AREA,VERIFIED,0.81
DHK-2023-1203,2023-01-27,00:38,2023,1,Friday,0,Mugging,Farmgate - in front of the commercial complex at Farmgate,ROAD_07,Kazi Nazrul Islam Ave (Farmgate to Karwan Bazar),Farmgate,Tejgaon,23.755614,90.390541,bdnews24,https://bdnews24.com/bangladesh/incident-2023-01-1203,news,Pedestrian,Firearm / Pistol,4,CNG auto-rickshaw,Reported incident of mugging involving a pedestrian at in front of the commercial complex at Farmgate. Suspects fled using a cng auto-rickshaw.,EXACT,VERIFIED,0.81
DHK-2023-0668,2023-01-27,13:08,2023,1,Friday,13,Theft,Mohammadpur - under the Mohammadpur footover bridge,ROAD_35,Mohammadpur Beribadh Outer Road,Mohammadpur,Mohammadpur,23.769951,90.347473,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-01-0668,news,Rickshaw passenger,Pepper spray,1,Motorcycle (Pulsar/FZ),"Muggers armed with a pepper spray intercepted a rickshaw passenger under the Mohammadpur footover bridge, fleeing with cash and bag.",INTERSECTION,PROBABLE,0.87
DHK-2023-1187,2023-01-28,08:10,2023,1,Saturday,8,Snatching,Mohammadpur - along the poorly lit section of Town Hall to Beribadh Link,ROAD_36,Town Hall to Beribadh Link,Mohammadpur,Mohammadpur,23.757269,90.354827,Daily Sun,https://www.daily-sun.com/post/crime/incident-2023-01-1187,news,Pedestrian,Sharp knife (Chhuri),1,Motorcycle (Pulsar/FZ),Police blotter recorded a swift snatching incident along the poorly lit section of Town Hall to Beribadh Link during Saturday night hours.,INTERSECTION,VERIFIED,0.79
DHK-2023-0870,2023-01-28,09:14,2023,1,Saturday,9,Robbery,Mohakhali - under the Mohakhali footover bridge,ROAD_15,Mohakhali to Gulshan-1 (Gulshan South Ave),Mohakhali,Banani,23.777781,90.400629,Dhaka Tribune,https://www.dhakatribune.com/bangladesh/crime/incident-2023-01-0870,news,Office worker,Pepper spray,2,Motorcycle (Pulsar/FZ),A office worker had their smartphone snatched by 2 perpetrators on a motorcycle (pulsar/fz) under the Mohakhali footover bridge around 09:14.,ROAD,VERIFIED,0.76
DHK-2023-0958,2023-01-28,18:43,2023,1,Saturday,18,Mugging,Banani - in front of the commercial complex at Banani,ROAD_19,Banani 11 to Gulshan-2 Bridge Link,Banani,Banani,23.792941,90.413099,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-01-0958,news,Small shopkeeper,Sharp knife (Chhuri),2,Motorcycle (Pulsar/FZ),Reported incident of mugging involving a small shopkeeper at in front of the commercial complex at Banani. Suspects fled using a motorcycle (pulsar/fz).,INTERSECTION,PROBABLE,0.8
DHK-2023-0198,2023-01-29,04:47,2023,1,Sunday,4,Snatching,Mirpur - in front of the commercial complex at Mirpur,ROAD_32,Mirpur-10 to Mirpur-11 Strip,Mirpur,Mirpur,23.810585,90.367762,Dhaka Tribune,https://www.dhakatribune.com/bangladesh/crime/incident-2023-01-0198,news,Rickshaw passenger,Iron rod,3,Motorcycle (Pulsar/FZ),Police blotter recorded a swift snatching incident in front of the commercial complex at Mirpur during Sunday night hours.,ROAD,VERIFIED,0.94
DHK-2023-0076,2023-01-29,15:35,2023,1,Sunday,15,Snatching,Mirpur - in front of the commercial complex at Mirpur,ROAD_28,Begum Rokeya Sarani (Shewrapara to Kazipara),Mirpur,Kafrul,23.787803,90.372889,The Daily Star,https://www.thedailystar.net/crime/incident-2023-01-0076,news,University student,Sharp knife (Chhuri),1,CNG auto-rickshaw,"Muggers armed with a sharp knife (chhuri) intercepted a university student in front of the commercial complex at Mirpur, fleeing with cash and bag.",ROAD,UNCONFIRMED,0.6
DHK-2023-1193,2023-01-29,21:59,2023,1,Sunday,21,Mugging,Nilkhet - close to the Nilkhet market square,ROAD_52,New Market to Sadarghat Riverfront Connector,Nilkhet,New Market,23.728054,90.389641,bdnews24,https://bdnews24.com/bangladesh/incident-2023-01-1193,news,Motorcyclist,Sharp knife (Chhuri),4,Motorcycle (Pulsar/FZ),Reported incident of mugging involving a motorcyclist at close to the Nilkhet market square. Suspects fled using a motorcycle (pulsar/fz).,INTERSECTION,PROBABLE,0.89
DHK-2023-0863,2023-02-02,08:26,2023,2,Thursday,8,Mugging,Mirpur - under the Mirpur footover bridge,ROAD_34,Mirpur-1 to Gabtoli Highway,Mirpur,Mirpur,23.794401,90.353997,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-02-0863,news,Office worker,Unarmed / Speed snatch,1,Motorcycle (Pulsar/FZ),A office worker had their smartphone snatched by 1 perpetrators on a motorcycle (pulsar/fz) under the Mirpur footover bridge around 08:26.,ROAD,VERIFIED,0.93
DHK-2023-0752,2023-02-02,15:44,2023,2,Thursday,15,Theft,Mirpur - under the Mirpur footover bridge,ROAD_31,Mirpur-1 to Mirpur-10 Connector,Mirpur,Mirpur,23.806862,90.367898,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-02-0752,news,Rickshaw passenger,Sharp knife (Chhuri),4,CNG auto-rickshaw,Police blotter recorded a swift snatching incident under the Mirpur footover bridge during Thursday night hours.,INTERSECTION,VERIFIED,0.94
DHK-2023-0970,2023-02-02,20:34,2023,2,Thursday,20,Theft,Baridhara - in front of the commercial complex at Baridhara,ROAD_21,Pragiti Sarani (Notun Bazar to Badda Link),Baridhara,Bhatara,23.785246,90.427495,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-02-0970,police_report,Pedestrian,Unarmed / Speed snatch,4,CNG auto-rickshaw,Police blotter recorded a swift snatching incident in front of the commercial complex at Baridhara during Thursday night hours.,ROAD,VERIFIED,0.97
DHK-2023-0988,2023-02-05,15:23,2023,2,Sunday,15,Pickpocketing,Mirpur - under the Mirpur footover bridge,ROAD_29,Begum Rokeya Sarani (Kazipara to Mirpur-10),Mirpur,Kafrul,23.801092,90.370077,The Daily Star,https://www.thedailystar.net/crime/incident-2023-02-0988,news,Female commuter,Sharp knife (Chhuri),2,Motorcycle (Pulsar/FZ),Reported incident of pickpocketing involving a female commuter at under the Mirpur footover bridge. Suspects fled using a motorcycle (pulsar/fz).,INTERSECTION,VERIFIED,0.86
DHK-2023-0057,2023-02-05,21:05,2023,2,Sunday,21,Snatching,Badda - along the poorly lit section of Pragiti Sarani (Badda Link to Rampura Bridge),ROAD_22,Pragiti Sarani (Badda Link to Rampura Bridge),Badda,Badda,23.77347,90.427463,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-02-0057,news,Motorcyclist,Unarmed / Speed snatch,2,CNG auto-rickshaw,Reported incident of snatching involving a motorcyclist at along the poorly lit section of Pragiti Sarani (Badda Link to Rampura Bridge). Suspects fled using a cng auto-rickshaw.,INTERSECTION,PROBABLE,0.85
DHK-2023-0386,2023-02-06,20:06,2023,2,Monday,20,Snatching,Mirpur - near the intersection approaching Mirpur 10 Roundabout,ROAD_31,Mirpur-1 to Mirpur-10 Connector,Mirpur,Mirpur,23.799563,90.359879,Daily Sun,https://www.daily-sun.com/post/crime/incident-2023-02-0386,news,Pedestrian,Pepper spray,3,CNG auto-rickshaw,Reported incident of snatching involving a pedestrian at near the intersection approaching Mirpur 10 Roundabout. Suspects fled using a cng auto-rickshaw.,INTERSECTION,UNCONFIRMED,0.68
DHK-2023-0498,2023-02-08,03:39,2023,2,Wednesday,3,Robbery,Rampura - near the intersection approaching Karwan Bazar Chottor,ROAD_23,Hatirjheel Bypass (Rampura to Karwan Bazar),Rampura,Rampura,23.753369,90.398182,The Business Standard,https://tbsnews.net/bangladesh/crime/incident-2023-02-0498,news,Pedestrian,Sharp knife (Chhuri),4,Leguna van,Police blotter recorded a swift snatching incident near the intersection approaching Karwan Bazar Chottor during Wednesday night hours.,INTERSECTION,VERIFIED,0.79
DHK-2023-0425,2023-02-08,17:54,2023,2,Wednesday,17,Snatching,Paltan - under the Paltan footover bridge,ROAD_51,Paltan to Sadarghat (Old Dhaka Arterial),Paltan,Paltan,23.718807,90.411162,bdnews24,https://bdnews24.com/bangladesh/incident-2023-02-0425,news,Small shopkeeper,Sharp knife (Chhuri),3,CNG auto-rickshaw,A small shopkeeper had their smartphone snatched by 3 perpetrators on a cng auto-rickshaw under the Paltan footover bridge around 17:54.,ROAD,VERIFIED,0.88
DHK-2023-0048,2023-02-11,13:39,2023,2,Saturday,13,Mugging,Tejgaon - in front of the commercial complex at Tejgaon,ROAD_13,Airport Road (Jahangir Gate to Mohakhali),Tejgaon,Cantonment,23.772205,90.394245,DMP Monthly Blotter,https://dmp.gov.bd/crime-statistics/incident-2023-02-0048,police_report,Rickshaw passenger,Sharp knife (Chhuri),2,Motorcycle (Pulsar/FZ),Reported incident of mugging involving a rickshaw passenger at in front of the commercial complex at Tejgaon. Suspects fled using a motorcycle (pulsar/fz).,EXACT,VERIFIED,0.93
DHK-2023-1173,2023-02-13,09:51,2023,2,Monday,9,Snatching,Mohammadpur - near Mohammadpur bus stop,ROAD_35,Mohammadpur Beribadh Outer Road,Mohammadpur,Mohammadpur,23.766165,90.347521,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-02-1173,news,Small shopkeeper,Sharp knife (Chhuri),3,Motorcycle (Pulsar/FZ),A small shopkeeper had their smartphone snatched by 3 perpetrators on a motorcycle (pulsar/fz) near Mohammadpur bus stop around 09:51.,EXACT,VERIFIED,0.87
DHK-2023-1126,2023-02-13,19:31,2023,2,Monday,19,Snatching,Mirpur - near Mirpur bus stop,ROAD_31,Mirpur-1 to Mirpur-10 Connector,Mirpur,Mirpur,23.804898,90.36618,Prothom Alo,https://en.prothomalo.com/bangladesh/crime-and-law/incident-2023-02-1126,news,Small shopkeeper,Paper cutter,1,Motorcycle (Pulsar/FZ),Reported incident of snatching involving a small shopkeeper at near Mirpur bus stop. Suspects fled using a motorcycle (pulsar/fz).,EXACT,VERIFIED,0.95
DHK-2023-0495,2023-02-13,19:44,2023,2,Monday,19,Snatching,Mohammadpur - along the poorly lit section of Mohammadpur Beribadh Outer Road,ROAD_35,Mohammadpur Beribadh Outer Road,Mohammadpur,Mohammadpur,23.76609,90.347473,The Daily Star,https://www.thedailystar.net/crime/incident-2023-02-0495,news,University student,Sharp knife (Chhuri),4,On foot (sprint),Reported incident of snatching involving a university student at along the poorly lit section of Mohammadpur Beribadh Outer Road. Suspects fled using a on foot (sprint).,INTERSECTION,VERIFIED,0.87
